covariate,smd_before,smd_after,abs_smd_after
tenure_months,0.1518660546430774,0.0558209587622168,0.0558209587622168
new_customer,-0.0305635144833202,0.0,0.0
gender_M,0.1147628427308847,0.0585403426315267,0.0585403426315267
region_Chicago,0.1379678893411762,0.2702688799875264,0.2702688799875264
region_New Jersey,-0.0810581275526855,-0.1357644407982238,0.1357644407982238
region_New York,0.0011017083681985,-0.0679616612927659,0.0679616612927659
region_Washington DC,0.1350687855372195,-0.0966800121528144,0.0966800121528144
first_purchase_month_10,0.0510604761891061,-0.2274846613225301,0.2274846613225301
first_purchase_month_2,0.149514069441956,0.0,0.0
first_purchase_month_3,0.0390449506853645,0.1174383403823631,0.1174383403823631
first_purchase_month_4,-0.1227636920791377,0.0,0.0
first_purchase_month_5,0.1159656536693958,-0.1383755345618014,0.1383755345618014
first_purchase_month_6,0.139532152336814,-0.1206447079297534,0.1206447079297534
first_purchase_month_7,-0.2401048156645726,0.0390854217755118,0.0390854217755118
first_purchase_month_8,-0.0191808036803595,-0.0451611182326454,0.0451611182326454
first_purchase_month_9,-0.0399090429556877,0.0999296517675859,0.0999296517675859
