covariate,smd_before,smd_after,abs_smd_after
tenure_months,0.15186605464307745,0.05582095876221688,0.05582095876221688
new_customer,-0.03056351448332026,0.0,0.0
gender_M,0.11476284273088472,0.05854034263152676,0.05854034263152676
region_Chicago,0.1379678893411762,0.2702688799875264,0.2702688799875264
region_New Jersey,-0.08105812755268554,-0.1357644407982238,0.1357644407982238
region_New York,0.0011017083681985264,-0.06796166129276598,0.06796166129276598
region_Washington DC,0.13506878553721952,-0.09668001215281445,0.09668001215281445
first_purchase_month_10,0.05106047618910616,-0.22748466132253015,0.22748466132253015
first_purchase_month_2,0.14951406944195608,0.0,0.0
first_purchase_month_3,0.039044950685364524,0.11743834038236314,0.11743834038236314
first_purchase_month_4,-0.12276369207913775,0.0,0.0
first_purchase_month_5,0.11596565366939587,-0.1383755345618014,0.1383755345618014
first_purchase_month_6,0.13953215233681407,-0.12064470792975347,0.12064470792975347
first_purchase_month_7,-0.24010481566457265,0.03908542177551183,0.03908542177551183
first_purchase_month_8,-0.019180803680359546,-0.045161118232645424,0.045161118232645424
first_purchase_month_9,-0.0399090429556877,0.09992965176758596,0.09992965176758596
